trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.25139206925024,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.22114583669915,"{0: 10, 1: 3, 2: 4, 3: 3, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.31651477405475,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,3.7724168708004875,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.41961652745873,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-296.3780863745969,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 6}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.70607505836145,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.90579656174614,"{0: 11, 1: 0, 2: 5, 3: 3, 4: 1}",0
