trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
55,False,"{'a': 0.5, 'e': 0.4499999999999995}",25,0,-79.16254342653298,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.4399999999999995}",25,0,-4.1326692809728245,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.4299999999999995}",35,7,-44.4935665422567,"{0: 22, 1: 3, 2: 2, 3: 0, 4: 1}",1
58,False,"{'a': 0.5, 'e': 0.4199999999999995}",30,12,-79.33286204552411,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 2}",1
59,False,"{'a': 0.5, 'e': 0.4099999999999995}",30,0,-229.92342574891916,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 5}",0
60,False,"{'a': 0.5, 'e': 0.39999999999999947}",25,0,-75.7362767308531,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.38999999999999946}",20,3,-15.633376210829972,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.37999999999999945}",20,10,7.091110083183734,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.36999999999999944}",25,2,-10.044825943062373,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.35999999999999943}",25,5,3.63020644916618,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.3499999999999994}",20,5,3.8788973750572686,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.3399999999999994}",25,13,-61.59705047722431,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 1}",1
67,False,"{'a': 0.5, 'e': 0.3299999999999994}",30,7,24.777321005124634,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.3199999999999994}",20,11,13.684737012358301,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.3099999999999994}",20,12,3.5828182804781,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.2999999999999994}",25,15,6.911649345566616,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.28999999999999937}",25,16,6.666615660523254,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.27999999999999936}",20,11,4.0384370323498935,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.26999999999999935}",20,0,-3.936207502726803,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.25999999999999934}",20,10,7.72317041124261,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.24999999999999933}",20,12,3.6143692872702347,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.23999999999999932}",20,1,-1.7844089637978846,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.22999999999999932}",25,11,-14.365262127586345,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
78,False,"{'a': 0.5, 'e': 0.2199999999999993}",30,0,14.268238472274051,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.2099999999999993}",25,2,23.673880435896237,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.1999999999999993}",20,6,-25.68292821888639,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
81,False,"{'a': 0.5, 'e': 0.18999999999999928}",20,0,22.27655749096787,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.17999999999999927}",25,2,22.08378748215343,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.16999999999999926}",35,23,10.519382832773172,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.15999999999999925}",20,8,19.392272727925658,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.14999999999999925}",20,9,-2.6816744414607436,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.13999999999999924}",20,6,22.19731574248917,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.12999999999999923}",20,5,25.255056810274965,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.11999999999999923}",30,5,39.60514345240313,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.10999999999999924}",20,10,16.276671421990912,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.09999999999999924}",20,12,13.9064628965534,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.08999999999999925}",25,7,30.9192909019867,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.07999999999999925}",25,0,20.247866737412362,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.06999999999999926}",30,3,37.16362325940515,"{0: 26, 1: 1, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.059999999999999255}",30,18,27.383020291044115,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.04999999999999925}",30,18,0.8020811110325361,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0.5, 'e': 0.03999999999999925}",35,15,21.66976135032002,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': 0.02999999999999925}",20,9,21.36554149347228,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': 0.019999999999999248}",25,13,19.909394273378954,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': 0.009999999999999247}",20,13,13.72975617697759,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': -7.528699885739343e-16}",25,15,17.364633255797617,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': -0.010000000000000753}",20,0,23.92279659336753,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': -0.020000000000000753}",20,9,20.252007041981578,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': -0.030000000000000755}",20,0,31.762039921506624,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': -0.04000000000000076}",20,0,28.456478342677926,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': -0.05000000000000076}",25,11,27.170352703401537,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
